parent_taxon_id,taxon_id,rank_level,leaf_class_id,name
122429,82205,20,,Nadata
82205,82204,10,29,Nadata gibbosa
122429,152128,20,,Peridea
152128,1336078,13,,Peridea angulosa
1336078,151770,10,555,Peridea angulosa
152128,1336079,13,,Peridea ferruginea
1336079,227466,10,885,Peridea ferruginea
122429,47717,20,,Datana
47717,47719,10,697,Datana ministra
47718,122433,27,,Heterocampinae
122433,1391425,25,,Heterocampini
1391425,935354,20,,Cecrita
935354,1372880,10,30,Cecrita biundata
1391425,1374230,20,,Coelodasys
1374230,1373714,10,425,Coelodasys unicornis
47718,122439,27,,Pygaerinae
122439,59200,20,,Clostera
59200,120214,10,41,Clostera albosigma
47718,122423,27,,Thaumetopoeinae
122423,61294,20,,Thaumetopoea
61294,61293,10,458,Thaumetopoea pityocampa
47718,122424,27,,Notodontinae
122424,143273,20,,Gluphisia
143273,1337036,13,,Gluphisia
1337036,143274,10,515,Gluphisia septentrionis
47718,122443,27,,Dioptinae
122443,886935,25,,Dioptini
886935,83959,20,,Phryganidia
83959,83958,10,517,Phryganidia californica
47607,52873,30,,Nolidae
